Year,Households,Total_Population,Total_Male,Total_Female,Atayal_Male,Atayal_Female,Saisiyat_Male,Saisiyat_Female,Bunun_Male,Bunun_Female,Tsou_Male,Tsou_Female,Paiwan_Male,Paiwan_Female,Amis_Male,Amis_Female,Yami_Male,Yami_Female,Other_Male,Other_Female,Married_Persons,Adult_Males
1906,21865,113163,57378,55785,12995,12937,393,344,7176,6713,1197,1070,10686,9923,13811,14056,729,698,10391,10044,.,24418
1907,22039,115245,58433,56812,12937,13067,401,356,7601,7097,1193,1053,10829,10037,14274,14198,864,803,10334,10201,.,25068
1908,22293,120254,60803,59451,14374,14775,403,359,8212,7582,1195,1096,10836,10288,14804,14576,864,803,10015,9972,.,28145
1909,22097,121981,61507,60474,14015,14227,404,353,8178,7629,1216,1106,10845,10248,15766,15810,864,803,10219,10298,.,29246
1910,21974,122106,61705,60401,13592,14174,408,356,8528,7541,1230,1070,10871,10423,16421,16387,784,699,9871,9751,.,28789
1911,21744,121959,61680,60279,13643,14228,405,365,8488,7519,1237,1088,10727,10340,16514,16269,789,698,9877,9772,.,29322
1912,21914,122736,62034,60702,13921,14556,409,372,8654,7657,1256,1091,20567,20050,16428,16265,799,711,.,.,.,29270
1913,22198,125283,62886,62397,13888,14813,423,383,9270,8582,1264,1089,20665,20241,16548,16556,828,733,.,.,.,29546
1914,22705,129715,65121,64594,15506,16243,512,474,9130,8590,1249,1070,20679,20375,17202,17094,843,748,.,.,.,30171
1915,22829,132279,66233,66046,15634,16534,587,555,9139,8542,1274,1117,20824,20635,17911,17909,864,754,.,.,.,29870
1916,22811,132924,66406,66518,15358,16333,585,564,9078,8505,1272,1125,20996,20835,18349,18479,768,677,.,.,.,30645
1917,22724,134023,66994,67029,15538,16476,575,562,9056,8468,1264,1136,21106,20937,18668,18759,787,691,.,.,.,31247
1918,22735,133119,66446,66673,15510,16329,570,558,9083,8558,1246,1126,20846,20720,18376,18666,815,716,.,.,.,31455
1919,22461,129977,64961,65016,15162,15881,548,541,8429,7906,1059,929,20624,20560,18285,18464,854,735,.,.,.,30524
1920,22418,130310,65133,65177,15212,15939,555,550,8379,7880,1048,922,20598,20484,18482,18666,859,736,.,.,.,30442
1921,22520,131609,65765,65844,15293,16058,576,568,8592,8056,1058,922,20676,20681,18722,18819,848,740,.,.,.,30634
1922,22524,132000,65873,66127,15171,15930,582,568,8541,8115,1052,925,20852,20841,18820,18988,855,760,.,.,.,30975
1923,22568,134420,67004,67416,15419,16181,610,586,8922,8478,1056,951,20913,20900,19293,19596,791,724,.,.,.,31310
1924,22674,135721,67782,67939,15628,16296,629,596,8986,8580,1080,959,21016,21023,19645,19754,798,731,.,.,.,30931
1925,22939,136706,68313,68393,15945,16583,629,597,9169,8675,1077,953,20977,20964,19683,19860,833,761,.,.,.,30368
1926,23227,138627,69347,69280,16094,16667,638,613,9450,8944,1107,982,21001,20898,20210,20408,847,768,.,.,.,30424
1927,23353,139327,69734,69593,16145,16761,650,629,9552,9009,1100,968,20906,20787,20532,20679,849,760,.,.,.,30353
1928,23496,139234,69823,69411,16391,16905,650,615,9289,8793,1074,943,20808,20536,20771,20856,840,763,.,.,.,30129
1929,23576,140169,70347,69822,16577,17133,663,619,9119,8666,1121,982,20782,20453,21237,21198,848,771,.,.,.,29588
1930,23925,140553,70574,69979,16231,16694,665,612,9189,8737,1141,993,20953,20547,21533,21609,862,787,.,.,27365,29274
1931,23954,142436,71529,70907,16398,16904,702,638,9173,8762,1183,1014,20994,20752,22196,21991,872,801,11,45,28645,30057
1932,24080,144303,72418,71885,16771,17234,728,666,9181,8717,1157,1004,21112,20877,22563,22557,897,805,9,25,27778,31287
1933,24480,146924,73756,73168,16944,17389,734,683,9245,8836,1266,1101,21261,21002,23267,23033,893,809,146,315,28638,32294
1934,24496,148472,74404,74068,17299,17658,757,704,9212,8836,1176,1015,21447,21167,23505,23559,895,787,113,342,29258,32080
1935,24651,150502,75373,75129,17623,18016,764,718,9066,8691,1160,1008,21693,21767,24164,24073,885,810,18,46,29572,31949
1936,25194,152350,76453,75897,17901,18227,758,728,9137,8773,1177,990,22041,21946,24532,24366,895,818,12,49,30297,31428
1937,25343,154255,77559,76696,18185,18475,793,773,9011,8661,1192,1012,22227,22089,25243,24809,896,833,12,44,62751,31266
1938,25627,155921,78097,77824,18399,18685,820,799,8995,8630,1214,1043,22301,22280,25424,25480,924,853,20,54,62628,31089
1939,25737,157394,79069,78325,18676,18927,863,826,8989,8501,1232,1061,22162,22164,26204,25933,923,854,20,59,62776,30782
1940,26242,158321,79415,78906,18776,19029,884,879,8841,8438,1245,1084,22016,22105,26740,26526,913,845,.,.,64003,29771
1941,26484,159594,79951,79643,19090,19337,890,906,8927,8428,1272,1091,22077,22053,26786,26988,909,840,.,.,60411,29778
1942,27098,162031,81785,80246,19394,19671,942,922,9011,8508,1275,1088,22603,22024,27705,27286,855,747,.,.,51352,29241
